name,price,measurement,remark,item-type,item-id,item-type-number
Fresh Pork Loin Back Ribs,$3.99,1,"Fresh Pork Loin Back Ribs, , $3.99 /lb",flyer-item,807486661,1
Bacon,$5.99,1,"Bacon, , $5.99",flyer-item,807486662,1
ASIAN INSPIRATIONS,$5,1,"ASIAN INSPIRATIONS, WONG WING Frozen Entrées, Egg Rolls, Spring Rolls or Dumplings, , $5 EACH WHEN YOU BUY 2 OR MORE.",flyer-item,807486663,1
Almond Beverages,$2.88,1,"Almond Beverages, HOT PRICE, $2.88",flyer-item,807486664,1
COMPLIMENTS Frozen Fruit,$3.99,1,"COMPLIMENTS Frozen Fruit, , $3.99",flyer-item,807486665,1
Snacking Crackers,$6.99,3,"Snacking Crackers, HOT PRICE, 3/ $6.99",flyer-item,807486666,1
Large Avocados or Large Red Mangoes,$4.98,3,"Large Avocados or Large Red Mangoes, , 3/ $4.98",flyer-item,807486667,1
Live Market Lobsters,$16.99,1,"Live Market Lobsters, , $16.99 /lb",flyer-item,807486668,1
Fresh Boneless Striploin Grilling Steak or Premium Oven Roast,$8.88,1,"Fresh Boneless Striploin Grilling Steak or Premium Oven Roast, , $8.88",flyer-item,807486669,1
English Seedless Cucumbers,$1.99,1,"English Seedless Cucumbers, , $1.99",flyer-item,807486670,1
Dips,$2,1,"Dips, , $2",flyer-item,807486671,1
COCA-COLA or PEPSI Soft Drinks,$6,2,"COCA-COLA or PEPSI Soft Drinks, , 2/ $6",flyer-item,807486672,1
FRESH CHOICE Oysters,$1.25,1,"FRESH CHOICE Oysters, , $1.25",flyer-item,807486673,1
Fair Trade Honduras White Shrimp or Wild Argentinian Pink Shrimp,$8.99,1,"Fair Trade Honduras White Shrimp or Wild Argentinian Pink Shrimp, , $8.99",flyer-item,807486674,1
Coho Salmon Fillets,$11.99,1,"Coho Salmon Fillets, , $11.99 /lb",flyer-item,807486675,1
Atlantic Canada Cooked Snow Crab Clusters or Lobster Claws,$16.99,1,"Atlantic Canada Cooked Snow Crab Clusters or Lobster Claws, , $16.99",flyer-item,807486676,1
COMPLIMENTS NATURALLY SIMPLE Sea Scallops or Black Tiger Shrimp Colossal Raw or Jumbo Cooked in ring with sauce,$19.99,1,"COMPLIMENTS NATURALLY SIMPLE Sea Scallops or Black Tiger Shrimp Colossal Raw or Jumbo Cooked in ring with sauce, , $19.99",flyer-item,807486677,1
Source Yogurt,$3.49,1,"Source Yogurt, Get 300 Scene+ when you buy 6 or more OR Get 300 Scene+ when you buy 3 or more, $3.49",flyer-item,807486678,1
Premium Cereal,$3.97,1,"Premium Cereal, 1000 Scene+ PTS when you buy 6, $3.97",flyer-item,807486679,1
NATURE VALLEY Midsize,$6.99,1,"NATURE VALLEY Midsize, 300 Scene+ PTS when you buy 2, $6.99",flyer-item,807486680,1
In-Store Ground Beef Meatballs or Meatloaf,$6.49,1,"In-Store Ground Beef Meatballs or Meatloaf, , $6.49 /lb",flyer-item,807486681,1
Seafood Appetizers,$8.99,1,"Seafood Appetizers, GET UP TO 600 SCENE+ PTS, STARTING AT $8.99",flyer-item,807486682,1
BOURSIN,$5.99,1,"BOURSIN, , $5.99",flyer-item,807486683,1
Antipasto Classico,$11,1,"Antipasto Classico, , STARTING AT $11",flyer-item,807486685,1
Grab and Go Trays Cookie Lover's Bliss,$6.49,1,"Grab and Go Trays Cookie Lover's Bliss, Dessert Bars, Pumpernickel and Spinach Dip or Patisseries, , STARTING AT $6.49",flyer-item,807486686,1
Large Pineapples whole or cored,$6.49,1,"Large Pineapples whole or cored, , $6.49",flyer-item,807486687,1
COMPLIMENTS or PANACHE Pork Back Ribs,$5.99,1,"COMPLIMENTS or PANACHE Pork Back Ribs, Chicken Wings, Meat Appetizers, Meatballs, Egg Rolls or Spring Rolls, Buy 2, get 1 free, starting at $5.99",flyer-item,807486688,1
Cheese,$6.99,1,"Cheese, , $6.99",flyer-item,807486689,1
Ice Cream,$4.99,1,"Ice Cream, , $4.99",flyer-item,807486690,1
Potato Chips,$7,2,"Potato Chips, , 2/ $7",flyer-item,807486691,1
Sparkling Water,$5.99,1,"Sparkling Water, , $5.99",flyer-item,807486692,1
Taco Seasonings,$5,4,"Taco Seasonings, , 4/ $5",flyer-item,807486693,1
CRACKER BARREL Cheese Slices,$3.99,1,"CRACKER BARREL Cheese Slices, , $3.99",flyer-item,807486694,1
Dips,$1.99,1,"Dips, Chewy or Yogurt Granola Bars, , $1.99",flyer-item,807486695,1
SWIFT Pot Pies,$5,4,"SWIFT Pot Pies, , 4/ $5",flyer-item,807486696,1
DAWN Dish Soap,$3.99,1,"DAWN Dish Soap, , $3.99",flyer-item,807486697,1
Breton or Vinta Crackers,$2.33,1,"Breton or Vinta Crackers, , $2.33",flyer-item,807486698,1
Margarine,$6.99,1,"Margarine, , $6.99",flyer-item,807486699,1
NABOB Ground Coffee,$12.99,1,"NABOB Ground Coffee, , $12.99",flyer-item,807486700,1
Whole Grain Bread,$7,2,"Whole Grain Bread, , 2/ $7",flyer-item,807486701,1
In-Store Ground Beef Meatballs or Meatloaf,$6.49,1,"In-Store Ground Beef Meatballs or Meatloaf, , $6.49 /lb",flyer-item,807486681,1
Antipasto Classico,$11,1,"Antipasto Classico, , STARTING AT $11",flyer-item,807486685,1
Goldfish Crackers,$3.33,1,"Goldfish Crackers, LOAD IT TO GET IT! Get 150 Scene+ PTS when you buy 3 and load offer in the Sobeys app or at MyGroceryOffers.ca, $3.33 EACH WHEN YOU BUY 3 OR MORE.",flyer-item,807486702,1
Prepared Fresh Daily Fruit or Vegetable Grab and Go Tray,$24,2,"Prepared Fresh Daily Fruit or Vegetable Grab and Go Tray, , 2/ $24 or $12.99 ea",flyer-item,807486710,1
Carrot and Roasted Garlic or Carmelized Onion and Roasted Garlic Cooked Potatoes,$9.99,1,"Carrot and Roasted Garlic or Carmelized Onion and Roasted Garlic Cooked Potatoes, 200 Scene+ when you buy 2 pkgs, $9.99",flyer-item,807486712,1
Buns,$4.49,1,"Buns, 80 Scene+ PTS when you buy 2, $4.49",flyer-item,807486713,1
Large Avocados,$4.98,3,"Large Avocados, , 3/ $4.98",flyer-item,807486714,1
Cilantro Bunch,$1.99,1,"Cilantro Bunch, , $1.99",flyer-item,807486715,1
Bulk Red Onions,$2.49,1,"Bulk Red Onions, , $2.49 /lb",flyer-item,807486716,1
Tomatoes,$2.99,1,"Tomatoes, , $2.99 /lb",flyer-item,807486717,1
Dessert Bars Nanaimo,$6.69,1,"Dessert Bars Nanaimo, Macaroon Madness, 140 Scene+ PTS when you buy 2, $6.69",flyer-item,807486718,1
Salad,$4.99,1,"Salad, , $4.99",flyer-item,807486719,1
Limes,$4.99,1,"Limes, , $4.99",flyer-item,807486720,1
Peppers,$6.99,1,"Peppers, , $6.99 /lb",flyer-item,807486721,1
Grands or Ready To Bake Cookies,$3.99,1,"Grands or Ready To Bake Cookies, 200 Scene+ PTS when you buy 3, $3.99",flyer-item,807486722,1
All-Day Breakfast Hashbrowns,$3.99,1,"All-Day Breakfast Hashbrowns, , $3.99",flyer-item,807486723,1
Dip,$2.49,1,"Dip, , $2.49",flyer-item,807486724,1
SODASTREAM Fountain Style,$6.99,1,"SODASTREAM Fountain Style, , $6.99",flyer-item,807486725,1
Multi Serve Meals,$11.99,1,"Multi Serve Meals, 200 Scene+ PTS when you buy 2, $11.99",flyer-item,807486726,1
Classic Assorted Crackers,$5.49,1,"Classic Assorted Crackers, 50 Scene+ PTS when you buy 1, $5.49",flyer-item,807486727,1
Pretzels,$9.99,3,"Pretzels, , 3/ $9.99",flyer-item,807486728,1
Tortilla Chips,$9,2,"Tortilla Chips, , 2/ $9",flyer-item,807486729,1
Buns,$4.49,1,"Buns, 80 Scene+ PTS when you buy 2, $4.49",flyer-item,807486713,1
COMPLIMENTS Extra Large Cooked Shrimp in Ring,$10,1,"COMPLIMENTS Extra Large Cooked Shrimp in Ring, , $10",flyer-item,807486730,1
COMPLIMENTS or PANACHE Pork Back Ribs,$5.99,1,"COMPLIMENTS or PANACHE Pork Back Ribs, Chicken Wings, Meat Appetizers, Meatballs, Egg Rolls or Spring Rolls, , Buy 2 Get 1 FREE* starting at $5.99 ea",flyer-item,807486731,1
COMPLIMENTS or PANACHE Smoked Atlantic Salmon,$9.99,1,"COMPLIMENTS or PANACHE Smoked Atlantic Salmon, , $9.99",flyer-item,807486732,1
California Family Pack Sushi,$15.99,1,"California Family Pack Sushi, , $15.99",flyer-item,807486733,1
Mini Pepperoni,$9.99,1,"Mini Pepperoni, Salami or Turkey Bites, , $9.99",flyer-item,807486734,1
MATT & STEVE'S Extreme Beans,$4.49,1,"MATT & STEVE'S Extreme Beans, , STARTING AT $4.49",flyer-item,807486736,1
Cranberry Sauce,$5,2,"Cranberry Sauce, , 2/ $5",flyer-item,807486737,1
Chipits,$4.49,1,"Chipits, , $4.49",flyer-item,807486738,1
Artesano Baguette,$4.99,1,"Artesano Baguette, , $4.99",flyer-item,807486739,1
Triple-Smoked Oysters,$1.99,1,"Triple-Smoked Oysters, 100 Scene+ PTS when you buy 2, $1.99",flyer-item,807486740,1
GLAD Garbage Bags,$10.99,1,"GLAD Garbage Bags, 300 Scene+ PTS when you buy 2, $10.99",flyer-item,807486741,1
Laundry Detergent,$25.99,1,"Laundry Detergent, 500 Scene+ PTS when you buy 2, $25.99",flyer-item,807486742,1
COMPLIMENTS or PANACHE Pork Back Ribs,$5.99,1,"COMPLIMENTS or PANACHE Pork Back Ribs, Chicken Wings, Meat Appetizers, Meatballs, Egg Rolls or Spring Rolls, , Buy 2 Get 1 FREE* starting at $5.99 ea",flyer-item,807486731,1
Made-to-order trays,$100,1,"Made-to-order trays, Get 1000 Scene+ PTS When you spend $100 or Get 2500 Scene+ PTS When you spend $200 or more,",flyer-item,807486743,1
Fresh Boneless Blade or Cross Rib Pot Roast or Simmering Steak,$9.99,1,"Fresh Boneless Blade or Cross Rib Pot Roast or Simmering Steak, , $9.99 /lb",flyer-item,807486745,1
Fresh Boneless Bottom Sirloin Tri Tip Grilling Steak or Premium Oven Roast,$12.99,1,"Fresh Boneless Bottom Sirloin Tri Tip Grilling Steak or Premium Oven Roast, , $12.99 /lb",flyer-item,807486746,1
Seasoned Split Chicken Wings,$4.99,1,"Seasoned Split Chicken Wings, , $4.99 /lb",flyer-item,807486747,1
Boneless Pork Sirloin Chops or Roasts,$3.99,1,"Boneless Pork Sirloin Chops or Roasts, , $3.99 /lb",flyer-item,807486748,1
Flattened Chicken,$5.99,1,"Flattened Chicken, 22 Scene+ PTS when you buy 1 pkg, $5.99 /lb",flyer-item,807486749,1
Fresh Pork Shoulder Blade Roasts or Steak,$3.99,1,"Fresh Pork Shoulder Blade Roasts or Steak, , $3.99 /lb",flyer-item,807486750,1
Pork Ready to Heat Entrées,$14.99,1,"Pork Ready to Heat Entrées, 250 Scene+ PTS when you buy 2, $14.99",flyer-item,807486751,1
Made Sausage Stuffed Mushroom Caps or Ground Beef Stuffed Peppers,$10,1,"Made Sausage Stuffed Mushroom Caps or Ground Beef Stuffed Peppers, 150 Scene+ PTS when you spend $10+, $5.99 /lb",flyer-item,807486752,1
COMPLIMENTS Deli Sausage Stick,$4.49,1,"COMPLIMENTS Deli Sausage Stick, 100 Scene+ PTS when you buy 2, $4.49",flyer-item,807486753,1
COMPLIMENTS Breaded Chicken Balls with Sweet & Sour Sauce or Frozen Breaded Chicken Burgers,$8.99,1,"COMPLIMENTS Breaded Chicken Balls with Sweet & Sour Sauce or Frozen Breaded Chicken Burgers, Strips or Popcorn Chicken, 180 Scene+ PTS when you buy 2, $8.99",flyer-item,807486754,1
COMPLIMENTS Shepherd's or Farmhouse Pie,$14.99,1,"COMPLIMENTS Shepherd's or Farmhouse Pie, 150 Scene+ PTS when you buy 1, $14.99",flyer-item,807486755,1
Breakfast or Dinner Pork Sausage,$5.99,1,"Breakfast or Dinner Pork Sausage, , $5.99",flyer-item,807486756,1
Extra Large Red,$4.79,1,"Extra Large Red, Black or Green Seedless Grapes, , $4.79 /lb",flyer-item,807486757,1
COMPLIMENTS Baby Spinach or Spring Mix,$6.99,1,"COMPLIMENTS Baby Spinach or Spring Mix, , $6.99",flyer-item,807486758,1
COMPLIMENTS Mini Potatoes,$4.49,1,"COMPLIMENTS Mini Potatoes, 75 Scene+ PTS when you buy 2, $4.49",flyer-item,807486759,1
Bosc or Red Pears,$3.49,1,"Bosc or Red Pears, , $3.49 /lb",flyer-item,807486760,1
Mini Watermelon,$6.99,1,"Mini Watermelon, 100 Scene+ PTS when you buy 1, $6.99",flyer-item,807486761,1
Cosmic Crisp Apples,$2.99,1,"Cosmic Crisp Apples, , $2.99 /lb",flyer-item,807486762,1
Artichokes,$3.99,1,"Artichokes, , $3.99",flyer-item,807486763,1
Tomatoes,$5.99,1,"Tomatoes, 50 Scene+ PTS when you buy 1, $5.99",flyer-item,807486764,1
Mini Sweet Peppers,$6.49,1,"Mini Sweet Peppers, , $6.49",flyer-item,807486765,1
COMPLIMENTS Extra Large Shrimp in Ring with Cocktail Sauce 312 g,$10,1,"COMPLIMENTS Extra Large Shrimp in Ring with Cocktail Sauce 312 g, , $10",flyer-item,807486766,1
COMPLIMENTS Large Cooked Shrimp in Ring with Cocktail Sauce 737 g,$20,1,"COMPLIMENTS Large Cooked Shrimp in Ring with Cocktail Sauce 737 g, , $20",flyer-item,807486767,1
COMPLIMENTS Pacific White Shrimp with Cocktail Sauce 680 g,$15,1,"COMPLIMENTS Pacific White Shrimp with Cocktail Sauce 680 g, , $15",flyer-item,807486768,1
Marinated and Glazed In-Store Chicken Wings,$5.99,1,"Marinated and Glazed In-Store Chicken Wings, 200 Scene+ PTS when you buy 1 pkg, $5.99 /lb",flyer-item,807486769,1
Fresh BBQ Whiskey or Honey Garlic Marinated Pork Loin Back Ribs,$4.99,1,"Fresh BBQ Whiskey or Honey Garlic Marinated Pork Loin Back Ribs, , $4.99 /lb",flyer-item,807486770,1
Fresh Boneless Korean BBQ or Maple Chipotle Marinated Bottom Sirloin Tri Tip Grilling Steak Cubes,$13.99,1,"Fresh Boneless Korean BBQ or Maple Chipotle Marinated Bottom Sirloin Tri Tip Grilling Steak Cubes, , $13.99 /lb",flyer-item,807486771,1
Fresh Boneless Korean BBQ or Maple Chipotle Marinated Bottom Sirloin Tri Tip Grilling Steak Cubes,$13.99,1,"Fresh Boneless Korean BBQ or Maple Chipotle Marinated Bottom Sirloin Tri Tip Grilling Steak Cubes, , $13.99 /lb",flyer-item,807486771,1
Soft Drinks,$0.88,1,"Soft Drinks, , $0.88",flyer-item,807486772,1
Crispy Minis,$2.99,1,"Crispy Minis, , $2.99 EACH WHEN YOU BUY 3 OR MORE.",flyer-item,807486773,1
COMPLIMENTS Tortilla Chips,$6,2,"COMPLIMENTS Tortilla Chips, , 2/ $6",flyer-item,807486774,1
CHRISTIE Cookie Snacks,$2.99,1,"CHRISTIE Cookie Snacks, , $2.99 EACH WHEN YOU BUY 2 OR MORE.",flyer-item,807486775,1
Pretzels 295-370 g or Popcorn 150-220 g,$8,2,"Pretzels 295-370 g or Popcorn 150-220 g, , 2/ $8",flyer-item,807486776,1
Melba Toast,$5.79,1,"Melba Toast, , $5.79",flyer-item,807486778,1
Premium Plus Crackers,$4.99,1,"Premium Plus Crackers, , $4.99",flyer-item,807486779,1
Sunbrew Non-Alcoholic Beer,$12.99,1,"Sunbrew Non-Alcoholic Beer, , $12.99",flyer-item,807486781,1
Cranberry Cocktail,$4.99,1,"Cranberry Cocktail, , $4.99",flyer-item,807486782,1
Apple Juice,$7,2,"Apple Juice, , 2/ $7",flyer-item,807486783,1
Original,$4.49,1,"Original, , $4.49 with Scene+ Card",flyer-item,807486784,1
Energy Drinks,$5,2,"Energy Drinks, , 2/ $5",flyer-item,807486786,1
KELLOGG'S Special K or Kashi Bars,$7,2,"KELLOGG'S Special K or Kashi Bars, , 2/ $7",flyer-item,807486787,1
COMPLIMENTS Bagged Jumbo Cereal,$5,1,"COMPLIMENTS Bagged Jumbo Cereal, 300 Scene+ PTS when you buy 2, $5",flyer-item,807486789,1
COMPLIMENTS Tablet Chocolate Bars,$2.29,1,"COMPLIMENTS Tablet Chocolate Bars, , $2.29 EACH WHEN YOU BUY 2 OR MORE.",flyer-item,807486791,1
Overnight Oats,$6.99,1,"Overnight Oats, , $6.99 with Scene+ Card",flyer-item,807486792,1
Plant Based Cheese Alternative,$3.99,1,"Plant Based Cheese Alternative, , $3.99",flyer-item,807486793,1
ORGANIC Crackers,$6.49,1,"ORGANIC Crackers, , $6.49",flyer-item,807486795,1
KITCHEN Bowls or Entrées,$7.49,1,"KITCHEN Bowls or Entrées, , $7.49",flyer-item,807486796,1
Bars,$8.99,1,"Bars, , $8.99",flyer-item,807486797,1
Tortilla Chips,$4.29,1,"Tortilla Chips, , $4.29",flyer-item,807486798,1
1-Step Smoothies or 1-Step Frappés,$9.99,1,"1-Step Smoothies or 1-Step Frappés, 100 Scene+ PTS when you buy 1, $9.99",flyer-item,807486799,1
Keto Bombs,$9.99,1,"Keto Bombs, , $9.99",flyer-item,807486800,1
Energy Drinks,$2.99,1,"Energy Drinks, , $2.99",flyer-item,807486801,1
OLYMPIC ORGANIC Yogurt,$10.99,1,"OLYMPIC ORGANIC Yogurt, , $10.99",flyer-item,807486802,1
Dish,$3.99,1,"Dish, Floor and Surface Liquid Cleaners, , $3.99",flyer-item,807486803,1
Pizza Pockets,$3.99,1,"Pizza Pockets, , $3.99 with Scene+ Card",flyer-item,807486804,1
PILLSBURY Pizza Pops,$3.49,1,"PILLSBURY Pizza Pops, , $3.49",flyer-item,807486806,1
Ice Cream,$6.99,1,"Ice Cream, , $6.99",flyer-item,807486807,1
Toaster Strudel,$3.49,1,"Toaster Strudel, , $3.49",flyer-item,807486808,1
Flavour Crisp Fries,$3.99,1,"Flavour Crisp Fries, , $3.99",flyer-item,807486809,1
COMPLIMENTS Free Run Large White Eggs,$5.99,1,"COMPLIMENTS Free Run Large White Eggs, , $5.99",flyer-item,807486810,1
COMPLIMENTS Pure Orange Juice,$5.99,1,"COMPLIMENTS Pure Orange Juice, , $5.99",flyer-item,807486811,1
FRUITOPIA or NESTEA,$3.99,1,"FRUITOPIA or NESTEA, , $3.99",flyer-item,807486812,1
Yogurt,$3.99,1,"Yogurt, , $3.99 EACH WHEN YOU BUY 2 OR MORE.",flyer-item,807486813,1
Aerosol Whipped Cream,$3.99,1,"Aerosol Whipped Cream, , $3.99",flyer-item,807486814,1
Coffee Creamers,$4.49,1,"Coffee Creamers, , $4.49",flyer-item,807486815,1
Snacks,$2.99,1,"Snacks, , $2.99 with Scene+ Card",flyer-item,807486816,1
KELLOGG'S Family Size Cereals,$5.99,1,"KELLOGG'S Family Size Cereals, , $5.99",flyer-item,807486817,1
WEIGHT WATCHERS Bread,$4.79,1,"WEIGHT WATCHERS Bread, , $4.79",flyer-item,807486818,1
Peanut Butter,$6.99,1,"Peanut Butter, , $6.99",flyer-item,807486819,1
COMPLIMENTS Worchestershire Sauce,$2.79,1,"COMPLIMENTS Worchestershire Sauce, , $2.79",flyer-item,807486820,1
Supermoist Cake Mix,$2.49,1,"Supermoist Cake Mix, , $2.49",flyer-item,807486821,1
ORIGINAL Converted Rice,$5.49,1,"ORIGINAL Converted Rice, , $5.49",flyer-item,807486822,1
MAILLE Dijon or Old Fashioned Mustard,$4.49,1,"MAILLE Dijon or Old Fashioned Mustard, , $4.49",flyer-item,807486823,1
Whipped or Deluxe Frosting,$3.49,1,"Whipped or Deluxe Frosting, , $3.49",flyer-item,807486824,1
Panko Bread Crumbs,$3.48,1,"Panko Bread Crumbs, , $3.48",flyer-item,807486825,1
COMPLIMENTS Cheese,$5.99,1,"COMPLIMENTS Cheese, , $5.99",flyer-item,807486826,1
COMPLIMENTS Tomato Juice,$3.49,1,"COMPLIMENTS Tomato Juice, , $3.49",flyer-item,807486827,1
COMPLIMENTS Frozen Vegetables,$3.99,1,"COMPLIMENTS Frozen Vegetables, , $3.99",flyer-item,807486829,1
COMPLIMENTS Potato Chips or Extraaa! Flavour Chips,$2.29,1,"COMPLIMENTS Potato Chips or Extraaa! Flavour Chips, , $2.29 EACH WHEN YOU BUY 3 OR MORE.",flyer-item,807486830,1
COMPLIMENTS Rice Crackers,$5,2,"COMPLIMENTS Rice Crackers, , 2/ $5",flyer-item,807486831,1
COMPLIMENTS Spirited Mickie BBQ Sauce,$3.49,1,"COMPLIMENTS Spirited Mickie BBQ Sauce, , $3.49",flyer-item,807486832,1
Chunky Soup,$7,2,"Chunky Soup, 200 Scene+ PTS when you buy 6, 2/ $7",flyer-item,807486833,1
CLOVER LEAF Cocktail Shrimp,$5.49,1,"CLOVER LEAF Cocktail Shrimp, , $5.49",flyer-item,807486834,1
Panko Bread Crumbs,$3.48,1,"Panko Bread Crumbs, , $3.48",flyer-item,807486835,1
Coconut Milk,$4.98,2,"Coconut Milk, , 2/ $4.98",flyer-item,807486836,1
Potsticker or Dumplings,$5.98,1,"Potsticker or Dumplings, , $5.98",flyer-item,807486837,1
Mayonnaise,$6.48,1,"Mayonnaise, , $6.48",flyer-item,807486838,1
BLUE DRAGON Spring Roll Wraps,$3.98,1,"BLUE DRAGON Spring Roll Wraps, , $3.98",flyer-item,807486839,1
Oyster Sauce,$2.98,1,"Oyster Sauce, , $2.98",flyer-item,807486840,1
Asian Pear,$1.88,1,"Asian Pear, , $1.88 /lb",flyer-item,807486841,1
Pomelo,$2.88,1,"Pomelo, , $2.88",flyer-item,807486842,1
Shrimp Dim Sum or Crab Rangoon,$8.99,1,"Shrimp Dim Sum or Crab Rangoon, Get 100 Scene+ PTS when you buy 1 or Get 300 Scene+ PTS when you buy 2 or Get 600 Scene+ PTS when you buy 3, $8.99",flyer-item,807486843,1
BLUE DRAGON Spring Roll Wraps,$3.98,1,"BLUE DRAGON Spring Roll Wraps, , $3.98",flyer-item,807486839,1
Oyster Sauce,$2.98,1,"Oyster Sauce, , $2.98",flyer-item,807486840,1
Bathroom Tissue,$7.99,1,"Bathroom Tissue, 200 Scene+ PTS when you buy 2, $7.99",flyer-item,807486844,1
TIDY CATS Lightweight Cat Litter,$21.99,1,"TIDY CATS Lightweight Cat Litter, , $21.99",flyer-item,807486845,1
Beads,$12.99,1,"Beads, 300 Scene+ PTS when you buy 2, $12.99",flyer-item,807486846,1
COMPLIMENTS Facial Tissues,$8.99,1,"COMPLIMENTS Facial Tissues, , $8.99",flyer-item,807486847,1
Dry Dog Food,$13.49,1,"Dry Dog Food, , $13.49",flyer-item,807486848,1
Bleach,$3.99,1,"Bleach, 200 Scene+ PTS when you buy 2, $3.99",flyer-item,807486849,1
Napkins,$2.49,1,"Napkins, , $2.49",flyer-item,807486850,1
IAMS Perfect Portions Wet Cat Food,$5,3,"IAMS Perfect Portions Wet Cat Food, , 3/ $5",flyer-item,807486851,1
Pods,$13.49,1,"Pods, 300 Scene+ PTS when you buy 2, $13.49",flyer-item,807486852,1
COMPLIMENTS Freezer Bags M - L,$4.79,1,"COMPLIMENTS Freezer Bags M - L, , $4.79",flyer-item,807486853,1
COMPLIMENTS Wet Dog Food,$1.49,1,"COMPLIMENTS Wet Dog Food, , $1.49 EACH WHEN YOU BUY 3 OR MORE.",flyer-item,807486854,1
SODASTREAM Terra Kit,$79.99,1,"SODASTREAM Terra Kit, , $79.99",flyer-item,807486855,1
LIVE CLEAN Hand Soap,$4.99,1,"LIVE CLEAN Hand Soap, , $4.99",flyer-item,807486856,1
Mouthwash,$9.99,1,"Mouthwash, 150 Scene+ PTS when you buy 2, $9.99",flyer-item,807486857,1
Super Pack,$28.99,1,"Super Pack, 500 Scene+ PTS when you buy 2, $28.99",flyer-item,807486858,1
Foam Bath,$9.99,1,"Foam Bath, , $9.99",flyer-item,807486859,1
Body Wash,$7.99,1,"Body Wash, 100 Scene+ PTS when you buy 1, $7.99",flyer-item,807486860,1
Baby Wipes,$9.99,1,"Baby Wipes, , $9.99",flyer-item,807486861,1
Body Wash,$5.99,1,"Body Wash, 250 Scene+ PTS when you buy 2, $5.99",flyer-item,807486862,1
Deodorant,$7.99,1,"Deodorant, 300 Scene+ PTS when you buy 2, $7.99",flyer-item,807486863,1
Mealtime Bowls,$3.49,1,"Mealtime Bowls, 100 Scene+ PTS when you buy 2, $3.49 EACH WHEN YOU BUY 2 OR MORE.",flyer-item,807486864,1
COMPLIMENTS Baby Wipes,$3.49,1,"COMPLIMENTS Baby Wipes, , $3.49",flyer-item,807486867,1
ROYAL CHINET,$2.49,1,"ROYAL CHINET, , $2.49",flyer-item,807486875,1
"10.38"" Dinner Plates",$11.49,1,"10.38"" Dinner Plates, , $11.49",flyer-item,807486876,1
"6.75"" Dessert Plates",$4.99,1,"6.75"" Dessert Plates, , $4.99",flyer-item,807486877,1
"8.75"" Lunch Plates",$8.49,1,"8.75"" Lunch Plates, , $8.49",flyer-item,807486878,1
WALTER Caesar Mix,$7.99,1,"WALTER Caesar Mix, , $7.99",flyer-item,807486879,1
Frozen Entrées,$1.99,1,"Frozen Entrées, , $1.99",flyer-item,807486881,1
"10.38"" Dinner Plates",$11.49,1,"10.38"" Dinner Plates, , $11.49",flyer-item,807486876,1
"6.75"" Dessert Plates",$4.99,1,"6.75"" Dessert Plates, , $4.99",flyer-item,807486877,1
"8.75"" Lunch Plates",$8.49,1,"8.75"" Lunch Plates, , $8.49",flyer-item,807486878,1
Novelties,$5.99,1,"Novelties, , $5.99 ea",flyer-item,807486882,1
Drumstick,$5.99,1,"Drumstick, , $5.99 ea",flyer-item,807486883,1
Frozen Dessert,$5.99,1,"Frozen Dessert, , $5.99 ea",flyer-item,807486884,1
REAL DAIRY Ice Cream,$5.99,1,"REAL DAIRY Ice Cream, , $5.99 ea",flyer-item,807486885,1
